"artistName","trackName","trackID","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"Joji","Ew","1y9kw88x5zwG9Pyxu3veQ2",0.494,0.374,7,-9.322,0,0.0275,0.799,0.0785,0.12,0.038,114.06,207710,4
"Joji","worldstar money (interlude)","0baNzeUcPQnQSagpe8T0mD",0.577,0.387,7,-8.607,1,0.274,0.964,0.705,0.208,0.459,146.565,126312,1
"Olivia Rodrigo","traitor","5CZ40GBx1sQ9agT82CLQCT",0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607,229227,4
"Bazzi","Why","7lozLnUfzcgEpMMVQI7yhA",0.676,0.67,8,-6.584,1,0.0374,0.353,0,0.103,0.54,113.01,148260,4
"Joji","ATTENTION","0WRBJ8YRdbS6rwZkCk1Odh",0.787,0.312,7,-12.401,1,0.0382,0.893,0.0224,0.115,0.425,119.898,128888,4
"Selena Gomez","Lose You To Love Me","4l0Mvzj72xxOpRrp6h8nHi",0.488,0.343,4,-8.985,1,0.0436,0.556,0,0.21,0.0978,102.819,206459,4
"The 1975","Be My Mistake","18UsAG7SfOQ5sxJEdjAMH0",0.572,0.155,6,-14.405,1,0.0344,0.835,0.000137,0.0906,0.0949,109.923,256689,3
"Harry Styles","Falling","1ZMiCix7XSAbfAJlEZWMCp",0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133,4
"Omar Apollo","Evergreen (You Didn’t Deserve Me At All)","2TktkzfozZifbQhXjT6I33",0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,216680,3
"Men I Trust","Numb","6Ijmj8Z0L31hCp5pLZnT5U",0.783,0.303,4,-14.393,1,0.0527,0.811,0.945,0.109,0.65,138.816,219340,4
"Luke Chiang","Shouldn't Be","7F6PtLP6fJPVtA1FWVkl8K",0.647,0.294,6,-10.344,0,0.0312,0.728,0,0.123,0.323,124.999,210480,3
"The Walters","I Love You So - Acoustic","5cjagrNaegv6IQZKflkPTf",0.494,0.311,10,-10.546,1,0.0308,0.818,1.5e-05,0.15,0.409,76.039,147333,4
"shamana","Besidju","3nUyfV0XhG8sysUfgEDmdI",0.747,0.413,5,-15.392,0,0.409,0.635,0.000792,0.123,0.221,105.053,107442,4
"Hashir","Down","1IJ5jZq2Qge2ZjBvw9ewiS",0.493,0.521,5,-12.464,0,0.375,0.219,0.71,0.0872,0.273,68.699,126010,1
"Joji","Glimpse of Us","6xGruZOHLs39ZbVccQTuPZ",0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456,3
"Bedroom","In My Head","5vwXQUwkpmnkJrfv69L6Mp",0.576,0.608,9,-13.537,1,0.0321,0.169,0.916,0.106,0.18,150.9,354692,4
"SYML","Where's My Love","1B62o4CbdL9ckGvwsz2cgn",0.604,0.36,0,-10.109,0,0.0253,0.868,0.0343,0.112,0.37,103.985,202000,4
"surrenderdorothy","IllLeaveItUpToYou","3yJVVfQMLKNwHPaO5iHppk",0.655,0.284,9,-15.018,1,0.0318,0.722,0.381,0.112,0.484,111.388,114026,3
"The Weeknd","Scared To Live","4BGZF4oLbTL0pWm7C18pbv",0.504,0.498,0,-8.24,1,0.0499,0.131,0,0.0929,0.196,87.221,191307,4
"keshi","i swear i'll never leave again","5byXSKd7QOHtVMOiptklBD",0.569,0.319,8,-12.85,1,0.0277,0.853,0.000151,0.128,0.32,79.997,173716,4
"Coldplay","Yellow","3AJwUDP919kvQ9QcozQPxg",0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,4
"Joji","YEAH RIGHT","52ooD6LHuXFubM6d1CDD93",0.671,0.589,1,-9.573,1,0.128,0.62,0.234,0.0992,0.201,169.031,174358,4
"ThxSoMch","Imperfect Girl","3B2hdjmWoNNMFSfNgsi8Ph",0.766,0.793,3,-6.564,0,0.0456,0.306,0.000199,0.273,0.622,117.71,170303,4
"Kuzu Mellow","Sunflower Feelings","3nuFetWG4SIUiQ5a7ZIpqi",0.824,0.448,0,-14.694,1,0.0953,0.754,3.4e-05,0.126,0.565,129.989,88644,4
